Date,Value
10/17/2024 23:30,0
10/17/2024 23:40,0
10/17/2024 23:50,0
10/18/2024 0:00,0
10/18/2024 0:10,0
10/18/2024 0:20,0
10/18/2024 0:30,0
10/18/2024 0:40,0
10/18/2024 0:50,0
10/18/2024 1:00,0
10/18/2024 1:10,0
10/18/2024 1:20,0
10/18/2024 1:30,0
10/18/2024 1:40,0
10/18/2024 1:50,0
10/18/2024 2:00,0
10/18/2024 2:10,0
10/18/2024 2:20,0
10/18/2024 2:30,0
10/18/2024 2:40,0
10/18/2024 2:50,0
10/18/2024 3:00,0
10/18/2024 3:10,0
10/18/2024 3:20,0
10/18/2024 3:30,0
10/18/2024 3:40,0
10/18/2024 3:50,0
10/18/2024 4:00,0
10/18/2024 4:10,0
10/18/2024 4:20,0
10/18/2024 4:30,0
10/18/2024 4:40,0
10/18/2024 4:50,0
10/18/2024 5:00,0
10/18/2024 5:10,0
10/18/2024 5:20,0
10/18/2024 5:30,0
10/18/2024 5:40,0
10/18/2024 5:50,0
10/18/2024 6:00,0
10/18/2024 6:10,0
10/18/2024 6:20,0
10/18/2024 6:30,416
10/18/2024 6:40,523
10/18/2024 6:50,691
10/18/2024 7:00,685
10/18/2024 7:10,994
10/18/2024 7:20,1709
10/18/2024 7:30,1891
10/18/2024 7:40,2461
10/18/2024 7:50,4748
10/18/2024 8:00,5053
10/18/2024 8:10,6109
10/18/2024 8:20,5302
10/18/2024 8:30,4796
10/18/2024 8:40,6111
10/18/2024 8:50,6322
10/18/2024 9:00,6310
10/18/2024 9:10,6607
10/18/2024 9:20,6942
10/18/2024 9:30,7078
10/18/2024 9:40,7307
10/18/2024 9:50,7858
10/18/2024 10:00,8258
10/18/2024 10:10,8886
10/18/2024 10:20,9238
10/18/2024 10:30,7877
10/18/2024 10:40,9099
10/18/2024 10:50,9899
10/18/2024 11:00,4563
10/18/2024 11:10,8968
10/18/2024 11:20,9151
10/18/2024 11:30,9411
10/18/2024 11:40,8970
10/18/2024 11:50,8683
10/18/2024 12:00,8576
10/18/2024 12:10,9019
10/18/2024 12:20,9233
10/18/2024 12:30,8773
10/18/2024 12:40,8744
10/18/2024 12:50,8330
10/18/2024 13:00,8391
10/18/2024 13:10,8301
10/18/2024 13:20,8023
10/18/2024 13:30,8008
10/18/2024 13:40,7748
10/18/2024 13:50,7383
10/18/2024 14:00,7336
10/18/2024 14:10,8066
10/18/2024 14:20,7669
10/18/2024 14:30,2510
10/18/2024 14:40,4210
10/18/2024 14:50,6503
10/18/2024 15:00,6674
10/18/2024 15:10,3092
10/18/2024 15:20,6161
10/18/2024 15:30,5766
10/18/2024 15:40,2373
10/18/2024 15:50,1007
10/18/2024 16:00,564
10/18/2024 16:10,541
10/18/2024 16:20,0
10/18/2024 16:30,0
10/18/2024 16:40,0
10/18/2024 16:50,0
10/18/2024 17:00,0
10/18/2024 17:10,0
10/18/2024 17:20,0
10/18/2024 17:30,0
10/18/2024 17:40,0
10/18/2024 17:50,0
10/18/2024 18:00,0
10/18/2024 18:10,0
10/18/2024 18:20,0
10/18/2024 18:30,0
10/18/2024 18:40,0
10/18/2024 18:50,0
10/18/2024 19:00,0
10/18/2024 19:10,0
10/18/2024 19:20,0
10/18/2024 19:30,0
10/18/2024 19:40,0
10/18/2024 19:50,0
10/18/2024 20:00,0
10/18/2024 20:10,0
10/18/2024 20:20,0
10/18/2024 20:30,0
10/18/2024 20:40,0
10/18/2024 20:50,0
10/18/2024 21:00,0
10/18/2024 21:10,0
10/18/2024 21:20,0
10/18/2024 21:30,0
10/18/2024 21:40,0
10/18/2024 21:50,0
10/18/2024 22:00,0
10/18/2024 22:10,0
10/18/2024 22:20,0
10/18/2024 22:30,0
10/18/2024 22:40,0
10/18/2024 22:50,0
10/18/2024 23:00,0
10/18/2024 23:10,0
10/18/2024 23:20,0
10/18/2024 23:30,0
10/18/2024 23:40,0
10/18/2024 23:50,0
10/19/2024 0:00,0
10/19/2024 0:10,0
10/19/2024 0:20,0
10/19/2024 0:30,0
10/19/2024 0:40,0
10/19/2024 0:50,0
10/19/2024 1:00,0
10/19/2024 1:10,0
10/19/2024 1:20,0
10/19/2024 1:30,0
10/19/2024 1:40,0
10/19/2024 1:50,0
10/19/2024 2:00,0
10/19/2024 2:10,0
10/19/2024 2:20,0
10/19/2024 2:30,0
10/19/2024 2:40,0
10/19/2024 2:50,0
10/19/2024 3:00,0
10/19/2024 3:10,0
10/19/2024 3:20,0
10/19/2024 3:30,0
10/19/2024 3:40,0
10/19/2024 3:50,0
10/19/2024 4:00,0
10/19/2024 4:10,0
10/19/2024 4:20,0
10/19/2024 4:30,0
10/19/2024 4:40,0
10/19/2024 4:50,0
10/19/2024 5:00,0
10/19/2024 5:10,0
10/19/2024 5:20,0
10/19/2024 5:30,0
10/19/2024 5:40,0
10/19/2024 5:50,0
10/19/2024 6:00,0
10/19/2024 6:10,630
10/19/2024 6:20,506
10/19/2024 6:30,598
10/19/2024 6:40,644
10/19/2024 6:50,569
10/19/2024 7:00,644
10/19/2024 7:10,812
10/19/2024 7:20,1555
10/19/2024 7:30,1127
10/19/2024 7:40,1527
10/19/2024 7:50,1587
10/19/2024 8:00,1509
10/19/2024 8:10,1634
10/19/2024 8:20,5267
10/19/2024 8:30,4075
10/19/2024 8:40,3865
10/19/2024 8:50,5760
10/19/2024 9:00,6020
10/19/2024 9:10,6496
10/19/2024 9:20,6846
10/19/2024 9:30,7078
10/19/2024 9:40,6957
10/19/2024 9:50,7414
10/19/2024 10:00,7326
10/19/2024 10:10,7598
10/19/2024 10:20,8116
10/19/2024 10:30,8275
10/19/2024 10:40,8412
10/19/2024 10:50,3885
10/19/2024 11:00,2203
10/19/2024 11:10,2724
10/19/2024 11:20,4773
10/19/2024 11:30,8763
10/19/2024 11:40,2677
10/19/2024 11:50,2402
10/19/2024 12:00,1606
10/19/2024 12:10,4284
10/19/2024 12:20,1650
10/19/2024 12:30,1210
10/19/2024 12:40,1774
10/19/2024 12:50,8990
10/19/2024 13:00,8347
10/19/2024 13:10,2067
10/19/2024 13:20,8595
10/19/2024 13:30,7926
10/19/2024 13:40,7525
10/19/2024 13:50,7053
10/19/2024 14:00,6746
10/19/2024 14:10,6720
10/19/2024 14:20,3216
10/19/2024 14:30,4835
10/19/2024 14:40,7005
10/19/2024 14:50,5659
10/19/2024 15:00,5184
10/19/2024 15:10,4926
10/19/2024 15:20,4434
10/19/2024 15:30,3959
10/19/2024 15:40,3424
10/19/2024 15:50,3007
10/19/2024 16:00,2231
10/19/2024 16:10,1435
10/19/2024 16:20,1093
10/19/2024 16:30,387
10/19/2024 16:40,0
10/19/2024 16:50,0
10/19/2024 17:00,0
10/19/2024 17:10,0
10/19/2024 17:20,0
10/19/2024 17:30,0
10/19/2024 17:40,0
10/19/2024 17:50,0
10/19/2024 18:00,0
10/19/2024 18:10,0
10/19/2024 18:20,0
10/19/2024 18:30,0
10/19/2024 18:40,0
10/19/2024 18:50,0
10/19/2024 19:00,0
10/19/2024 19:10,0
10/19/2024 19:20,0
10/19/2024 19:30,0
10/19/2024 19:40,0
10/19/2024 19:50,0
10/19/2024 20:00,0
10/19/2024 20:10,0
10/19/2024 20:20,0
10/19/2024 20:30,0
10/19/2024 20:40,0
10/19/2024 20:50,0
10/19/2024 21:00,0
10/19/2024 21:10,0
10/19/2024 21:20,0
10/19/2024 21:30,0
10/19/2024 21:40,0
10/19/2024 21:50,0
10/19/2024 22:00,0
10/19/2024 22:10,0
10/19/2024 22:20,0
10/19/2024 22:30,0
10/19/2024 22:40,0
10/19/2024 22:50,0
10/19/2024 23:00,0
10/19/2024 23:10,0
10/19/2024 23:20,0
10/19/2024 23:30,0
10/19/2024 23:40,0
10/19/2024 23:50,0
10/20/2024 0:00,0
10/20/2024 0:10,0
10/20/2024 0:20,0
10/20/2024 0:30,0
10/20/2024 0:40,0
10/20/2024 0:50,0
10/20/2024 1:00,0
10/20/2024 1:10,0
10/20/2024 1:20,0
10/20/2024 1:30,0
10/20/2024 1:40,0
10/20/2024 1:50,0
10/20/2024 2:00,0
10/20/2024 2:10,0
10/20/2024 2:20,0
10/20/2024 2:30,0
10/20/2024 2:40,0
10/20/2024 2:50,0
10/20/2024 3:00,0
10/20/2024 3:10,0
10/20/2024 3:20,0
10/20/2024 3:30,0
10/20/2024 3:40,0
10/20/2024 3:50,0
10/20/2024 4:00,0
10/20/2024 4:10,0
10/20/2024 4:20,0
10/20/2024 4:30,0
10/20/2024 4:40,0
10/20/2024 4:50,0
10/20/2024 5:00,0
10/20/2024 5:10,0
10/20/2024 5:20,0
10/20/2024 5:30,0
10/20/2024 5:40,0
10/20/2024 5:50,0
10/20/2024 6:00,0
10/20/2024 6:10,0
10/20/2024 6:20,315
10/20/2024 6:30,604
10/20/2024 6:40,933
10/20/2024 6:50,401
10/20/2024 7:00,419
10/20/2024 7:10,798
10/20/2024 7:20,1055
10/20/2024 7:30,1544
10/20/2024 7:40,720
10/20/2024 7:50,873
10/20/2024 8:00,1269
10/20/2024 8:10,3774
10/20/2024 8:20,4046
10/20/2024 8:30,2629
10/20/2024 8:40,3500
10/20/2024 8:50,4107
10/20/2024 9:00,2476
10/20/2024 9:10,5456
10/20/2024 9:20,3789
10/20/2024 9:30,6357
10/20/2024 9:40,7228
10/20/2024 9:50,7456
10/20/2024 10:00,8191
10/20/2024 10:10,4297
10/20/2024 10:20,8531
10/20/2024 10:30,3915
10/20/2024 10:40,10243
10/20/2024 10:50,8379
10/20/2024 11:00,9219
10/20/2024 11:10,8902
10/20/2024 11:20,5048
10/20/2024 11:30,3627
10/20/2024 11:40,4252
10/20/2024 11:50,3181
10/20/2024 12:00,3250
10/20/2024 12:10,4066
10/20/2024 12:20,4095
10/20/2024 12:30,3331
10/20/2024 12:40,2842
10/20/2024 12:50,3071
10/20/2024 13:00,4031
10/20/2024 13:10,3713
10/20/2024 13:20,3362
10/20/2024 13:30,3223
10/20/2024 13:40,3912
10/20/2024 13:50,3255
10/20/2024 14:00,2827
10/20/2024 14:10,2688
10/20/2024 14:20,2581
10/20/2024 14:30,2364
10/20/2024 14:40,2581
10/20/2024 14:50,2567
10/20/2024 15:00,2430
10/20/2024 15:10,2077
10/20/2024 15:20,1666
10/20/2024 15:30,1420
10/20/2024 15:40,1357
10/20/2024 15:50,1035
10/20/2024 16:00,856
10/20/2024 16:10,746
10/20/2024 16:20,685
10/20/2024 16:30,546
10/20/2024 16:40,500
10/20/2024 16:50,425
10/20/2024 17:00,318
10/20/2024 17:10,0
10/20/2024 17:20,0
10/20/2024 17:30,0
10/20/2024 17:40,0
10/20/2024 17:50,0
10/20/2024 18:00,0
10/20/2024 18:10,0
10/20/2024 18:20,0
10/20/2024 18:30,0
10/20/2024 18:40,0
10/20/2024 18:50,0
10/20/2024 19:00,0
10/20/2024 19:10,0
10/20/2024 19:20,0
10/20/2024 19:30,0
10/20/2024 19:40,0
10/20/2024 19:50,0
10/20/2024 20:00,0
10/20/2024 20:10,0
10/20/2024 20:20,0
10/20/2024 20:30,0
10/20/2024 20:40,0
10/20/2024 20:50,0
10/20/2024 21:00,0
10/20/2024 21:10,0
10/20/2024 21:20,0
10/20/2024 21:30,0
10/20/2024 21:40,0
10/20/2024 21:50,0
10/20/2024 22:00,0
10/20/2024 22:10,0
10/20/2024 22:20,0
10/20/2024 22:30,0
